catalog_id,tif,minxy,maxxy
103001004F03B500,3020231.tif,"(-95.361328125, 30.05859375)","(-95.2734375, 30.146484375)"
103001004F03B500,3002123.tif,"(-95.185546875, 29.091796875)","(-95.09765625, 29.1796875)"
103001004F03B500,3020321.tif,"(-95.185546875, 30.05859375)","(-95.09765625, 30.146484375)"
103001004F03B500,3002320.tif,"(-95.2734375, 29.35546875)","(-95.185546875, 29.443359375)"
103001004F03B500,3020302.tif,"(-95.2734375, 29.970703125)","(-95.185546875, 30.05859375)"
103001004F03B500,3020011.tif,"(-95.361328125, 29.53125)","(-95.2734375, 29.619140625)"
103001004F03B500,3002121.tif,"(-95.185546875, 29.00390625)","(-95.09765625, 29.091796875)"
103001004F03B500,3020320.tif,"(-95.2734375, 30.05859375)","(-95.185546875, 30.146484375)"
103001004F03B500,3002231.tif,"(-95.361328125, 29.35546875)","(-95.2734375, 29.443359375)"
103001004F03B500,3002303.tif,"(-95.185546875, 29.267578125)","(-95.09765625, 29.35546875)"
103001004F03B500,3002033.tif,"(-95.361328125, 29.091796875)","(-95.2734375, 29.1796875)"
103001004F03B500,3002322.tif,"(-95.2734375, 29.443359375)","(-95.185546875, 29.53125)"
103001004F03B500,3020300.tif,"(-95.2734375, 29.8828125)","(-95.185546875, 29.970703125)"
103001004F03B500,3020033.tif,"(-95.361328125, 29.794921875)","(-95.2734375, 29.8828125)"
